name,original_location,normalized_location,latitude,longitude,needs_review
ODEL,Negambo,Negombo,7.2083,79.8358,False
Onally Holdings,Colombo 04,Colombo 04,6.8895,79.857,False
Orel IT,Maharagama,Maharagama,6.8481,79.9265,False
Otter Aquatic Club,Colombo 07,Colombo 07,6.9101,79.862,False
P W Corporate Secretarial (PVT) LTD,Colombo 08,Colombo 08,6.9139,79.8778,False
Pathma Weaving Mills,Kotugoda,Kotugoda,7.1,79.9167,False
Prestaff Holdings,Katunayake,Katunayaka,7.1697,79.8842,False
R T Jewellers Pvt Ltd,Wattala,Wattala,6.9897,79.8919,False
Royal Ceramic Lanka PLC,Colombo 03,Colombo 03,6.9147,79.8483,False
Royal Ceramic Lanka PLC,Dehiwala,Dehiwala,6.8517,79.8653,False
Royal Ceramic Lanka PLC,"No 98, Nawala",Nawala,6.8927,79.8886,False
Royal Ceramic Lanka PLC,Duplication Road,Duplication Road,6.899,79.856,False
Royal Ceramic Lanka PLC,Nawala Warehouse,Nawala,6.8927,79.8886,False
Royal Ceramic Lanka PLC,Meegoda,Meegoda,6.8333,80.0167,False
Royal Ceramic Lanka PLC,"30, Nawala",Nawala,6.8927,79.8886,False
Royal Ceramic Lanka PLC,"101, Nawala",Nawala,6.8927,79.8886,False
Royal Ceramic Lanka PLC,Galle,Galle,6.0535,80.221,False
Royal Ceramic Lanka PLC,Kottawa,Kottawa,6.842,79.9636,False
Ru Salu Clothing,Katana,Katana,7.1667,79.8833,False
S&D Chemicals,Biyagama Zone,Biyagama,6.9497,79.9187,False
Sacred Heart Church - Sirihada Church,Rajagiriya,Rajagiriya,6.9094,79.8931,False
Sahas Wear (Pvt) Ltd,Wellawaya,Wellawaya,6.7333,81.1,False
Sarasi Lands,Pasyala,Pasyala,7.1,80.1167,False
Secure Security Investigation Pvt Ltd,Nugegoda,Nugegoda,6.8649,79.8997,False
Sena Mills Refineries (Pvt) Ltd,Pannala,Pannala,7.3167,80.0833,False
Sensaka Janitorial Services,Wattala,Wattala,6.9897,79.8919,False
Sensaka Janitorial Services,Galle,Galle,6.0535,80.221,False
Sika Lanka,"Ekala,Ja-Ela",Ja-Ela,7.0742,79.8917,False
SolTrim International,Rajagiriya,Rajagiriya,6.9094,79.8931,False
Somawathi Niwasa,Habaraduwa,Habaraduwa,6.0333,80.2833,False
SSC,Colombo 07,Colombo 07,6.9101,79.862,False
Suez International,Kelaniya,Kelaniya,6.9553,79.9219,False
Suez International,"Jaffna, Thaleadi",Thaleadi,9.6833,80.0167,False
Swissteck Aluminium PLC,Nawala,Nawala,6.8927,79.8886,False
Swissteck Aluminium PLC,Dompe,Dompe,7.0167,80.0833,False
Swissteck Aluminium PLC,Dompe,Dompe,7.0167,80.0833,False
"Synthite Lanka ( Pvt ) Ltd,",Dambulla,Dambulla,7.8567,80.6517,False
Thangalla Filling Station,Thangalla,Thangalla,6.0233,80.7947,False
Thushari & Sons Pvt Ltd - Ederamulla,Enderamulla,Enderamulla,6.9833,79.9,False
Thushari & Sons Pvt Ltd - Lanka IOC Filling Station,Gampaha,Gampaha,7.0917,79.995,False
